deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
1990-09-19,1990-11-04,.,SHLX00,protected,int_mid,tuffy,3,1,47,4,1,UNK,.,
1990-09-19,1990-11-04,.,SHLX00,protected,int_mid,tuffy,3,1,49,3,1,UNK,.,
1990-09-19,1990-11-04,.,SHLX00,protected,int_mid,tuffy,4,1,47,3,1,UNK,.,
1990-09-19,1990-11-04,.,SHLX00,protected,int_mid,tuffy,4,1,49,4,1,UNK,.,
1990-09-19,1990-11-04,.,SHLX00,protected,int_mid,tuffy,5,1,47,2,1,UNK,.,
1990-09-19,1990-11-04,.,SHLX00,protected,int_mid,tuffy,5,1,49,4,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,1,1,47,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,1,1,49,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,2,1,47,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,2,1,49,2,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,3,1,47,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,3,1,49,1,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,4,1,47,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,4,1,49,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,5,1,47,0,1,UNK,.,
1990-11-03,1990-11-30,.,BBYX00,protected,int_mid,tuffy,5,1,49,1,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,1,1,47,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,1,1,49,8,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,2,1,47,2,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,2,1,49,22,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,3,1,47,1,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,3,1,49,20,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,4,1,47,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,4,1,49,6,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,5,1,47,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,exposed,int_mid,tuffy,5,1,49,16,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,1,1,47,1,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,1,1,49,1,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,2,1,47,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,2,1,49,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,3,1,47,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,3,1,49,1,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,4,1,47,2,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,4,1,49,0,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,5,1,47,2,1,UNK,.,
1990-11-04,1990-12-01,.,SHLX00,protected,int_mid,tuffy,5,1,49,1,1,UNK,.,
